ID	Side	Element	Osc_01	Osc_02
Os_coxa_L47	Left	Os_coxa	238	177
Os_coxa_L48	Left	Os_coxa	193	146
Os_coxa_L49	Left	Os_coxa	207	150
Os_coxa_L50	Left	Os_coxa	222	163
Os_coxa_L51	Left	Os_coxa	202	150
Os_coxa_L52	Left	Os_coxa	214	153
Os_coxa_L53	Left	Os_coxa	228	164
Os_coxa_L54	Left	Os_coxa	210	160
Os_coxa_L55	Left	Os_coxa	221	161
Os_coxa_L56	Left	Os_coxa	193	142
Os_coxa_L57	Left	Os_coxa	238	157
Os_coxa_L58	Left	Os_coxa	192	137
Os_coxa_L59	Left	Os_coxa	202	157
Os_coxa_L60	Left	Os_coxa	220	157
Os_coxa_L61	Left	Os_coxa	230	156
Os_coxa_L62	Left	Os_coxa	201	144
Os_coxa_L63	Left	Os_coxa	192	147
Os_coxa_L64	Left	Os_coxa	232	169
Os_coxa_L65	Left	Os_coxa	193	150
Os_coxa_L66	Left	Os_coxa	228	164
Os_coxa_L67	Left	Os_coxa	174	143
Os_coxa_L68	Left	Os_coxa	143	102
Os_coxa_L69	Left	Os_coxa	184	139
Os_coxa_L70	Left	Os_coxa	243	180
Os_coxa_L71	Left	Os_coxa	247	177
Os_coxa_L72	Left	Os_coxa	195	170
Os_coxa_L73	Left	Os_coxa	217	170
Os_coxa_L74	Left	Os_coxa	238	171
Os_coxa_L75	Left	Os_coxa	221	151
Os_coxa_L76	Left	Os_coxa	212	138
Os_coxa_L77	Left	Os_coxa	225	171
Os_coxa_L78	Left	Os_coxa	242	177
Os_coxa_L79	Left	Os_coxa	230	158
Os_coxa_L80	Left	Os_coxa	192	129
Os_coxa_L81	Left	Os_coxa	217	146
Os_coxa_L82	Left	Os_coxa	217	157
Os_coxa_L83	Left	Os_coxa	217	154
Os_coxa_L84	Left	Os_coxa	216	166
Os_coxa_L85	Left	Os_coxa	226.5	174.5
Os_coxa_L86	Left	Os_coxa	208	160
Os_coxa_L87	Left	Os_coxa	231	169
Os_coxa_L88	Left	Os_coxa	216	162
Os_coxa_L89	Left	Os_coxa	219	169
Os_coxa_L90	Left	Os_coxa	232	178
Os_coxa_L91	Left	Os_coxa	234	181
Os_coxa_L92	Left	Os_coxa	226	170
Os_coxa_L93	Left	Os_coxa	232	170
Os_coxa_L94	Left	Os_coxa	239	167
Os_coxa_L95	Left	Os_coxa	237	173
Os_coxa_L96	Left	Os_coxa	232	167
Os_coxa_L97	Left	Os_coxa	229	168
Os_coxa_L98	Left	Os_coxa	240	167
Os_coxa_L99	Left	Os_coxa	236	167
Os_coxa_L100	Left	Os_coxa	249	180
Os_coxa_L101	Left	Os_coxa	250	190
Os_coxa_L102	Left	Os_coxa	218	160
Os_coxa_L103	Left	Os_coxa	221	164
Os_coxa_L104	Left	Os_coxa	206	153
Os_coxa_L105	Left	Os_coxa	239	174
Os_coxa_L106	Left	Os_coxa	215	164
Os_coxa_L107	Left	Os_coxa	226	163
Os_coxa_L108	Left	Os_coxa	223	157
Os_coxa_L109	Left	Os_coxa	210	150
Os_coxa_L110	Left	Os_coxa	213	145
Os_coxa_L111	Left	Os_coxa	181	135
Os_coxa_L112	Left	Os_coxa	192	145
Os_coxa_L113	Left	Os_coxa	191	148
Os_coxa_L114	Left	Os_coxa	182	140
Os_coxa_L115	Left	Os_coxa	203	163
Os_coxa_L116	Left	Os_coxa	199	144
Os_coxa_L117	Left	Os_coxa	183	138
Os_coxa_L118	Left	Os_coxa	221	163
Os_coxa_L119	Left	Os_coxa	216	157
Os_coxa_L120	Left	Os_coxa	214	158
Os_coxa_L121	Left	Os_coxa	205	146
Os_coxa_L122	Left	Os_coxa	190	149
Os_coxa_L123	Left	Os_coxa	201	141
Os_coxa_L124	Left	Os_coxa	192	152
Os_coxa_L125	Left	Os_coxa	214	156
Os_coxa_L126	Left	Os_coxa	239	174
Os_coxa_L127	Left	Os_coxa	215	158
Os_coxa_L128	Left	Os_coxa	194	146
Os_coxa_L129	Left	Os_coxa	224	161
Os_coxa_L130	Left	Os_coxa	215.5	170
Os_coxa_L131	Left	Os_coxa	221	167.5
Os_coxa_L132	Left	Os_coxa	207	160
Os_coxa_L133	Left	Os_coxa	216	149.8
Os_coxa_L134	Left	Os_coxa	212	154
Os_coxa_L135	Left	Os_coxa	230	69
Os_coxa_L136	Left	Os_coxa	210	168
Os_coxa_L137	Left	Os_coxa	196.5	138
Os_coxa_L138	Left	Os_coxa	205.5	156.5
Os_coxa_L139	Left	Os_coxa	234.5	170.5
Os_coxa_L140	Left	Os_coxa	225	163
Os_coxa_L141	Left	Os_coxa	200.5	146
Os_coxa_L142	Left	Os_coxa	230	170
Os_coxa_L143	Left	Os_coxa	228	170
Os_coxa_L144	Left	Os_coxa	202	157
Os_coxa_L145	Left	Os_coxa	231	161
Os_coxa_L146	Left	Os_coxa	205	140
Os_coxa_L147	Left	Os_coxa	236	163
Os_coxa_L148	Left	Os_coxa	215	156
