ID	Side	Element	Cla_01	Cla_04	Cla_05
Clavicle_L51	Left	Clavicle	142	10	12
Clavicle_L52	Left	Clavicle	153	12	9
Clavicle_L53	Left	Clavicle	155	12	11
Clavicle_L54	Left	Clavicle	155	14	10
Clavicle_L55	Left	Clavicle	157	11	14
Clavicle_L56	Left	Clavicle	128	9	7
Clavicle_L57	Left	Clavicle	157	10.9	12.7
Clavicle_L58	Left	Clavicle	154	13.8	14
Clavicle_L59	Left	Clavicle	148	10.6	12.1
Clavicle_L60	Left	Clavicle	163	12.4	9.4
Clavicle_L61	Left	Clavicle	163	12.3	10.3
Clavicle_L62	Left	Clavicle	156	13	9.3
Clavicle_L63	Left	Clavicle	168	14	9.8
Clavicle_L64	Left	Clavicle	168	13.1	9.3
Clavicle_L65	Left	Clavicle	148	13.2	10.5
Clavicle_L66	Left	Clavicle	155	13.1	11.2
Clavicle_L67	Left	Clavicle	165	13.1	10.9
Clavicle_L68	Left	Clavicle	167	16.1	10.5
Clavicle_L69	Left	Clavicle	160	12.1	12.8
Clavicle_L70	Left	Clavicle	173	13.1	11.5
Clavicle_L71	Left	Clavicle	155	12.6	10.5
Clavicle_L72	Left	Clavicle	143	11.1	10.1
Clavicle_L73	Left	Clavicle	174	13.6	12.6
Clavicle_L74	Left	Clavicle	162	12.5	11.5
Clavicle_L75	Left	Clavicle	167	14.4	9.3
Clavicle_L76	Left	Clavicle	153	13.3	10
Clavicle_L77	Left	Clavicle	159	11.72	7.38
Clavicle_L78	Left	Clavicle	140	10.7	9.06
Clavicle_L79	Left	Clavicle	132	11.35	8.31
Clavicle_L80	Left	Clavicle	142	9.67	6.28
Clavicle_L81	Left	Clavicle	132	8.18	7.62
Clavicle_L82	Left	Clavicle	142	10.3	9.4
Clavicle_L83	Left	Clavicle	130	11.7	9.3
Clavicle_L84	Left	Clavicle	117	8.4	7.5
Clavicle_L85	Left	Clavicle	155	11.8	12.9
Clavicle_L86	Left	Clavicle	156	11.1	11.4
Clavicle_L87	Left	Clavicle	147	12.5	8.8
Clavicle_L88	Left	Clavicle	155	12.9	11.4
Clavicle_L89	Left	Clavicle	150	11.2	9.6
Clavicle_L90	Left	Clavicle	139	11.4	8.8
Clavicle_L91	Left	Clavicle	145	11.4	11.5
Clavicle_L92	Left	Clavicle	147	11.5	9.8
Clavicle_L93	Left	Clavicle	160	12.1	10.5
Clavicle_L94	Left	Clavicle	157	13	8
Clavicle_L95	Left	Clavicle	155	14	10
Clavicle_L96	Left	Clavicle	173	13	9
Clavicle_L97	Left	Clavicle	168	10	13
Clavicle_L98	Left	Clavicle	153	12.5	10.8
Clavicle_L99	Left	Clavicle	160	13	11.2
Clavicle_L100	Left	Clavicle	156.5	13.5	12.4
Clavicle_L101	Left	Clavicle	147	14	11.3
Clavicle_L102	Left	Clavicle	146	15	13.3
Clavicle_L103	Left	Clavicle	152.5	12.5	10.9
Clavicle_L104	Left	Clavicle	146	11.6	8.9
Clavicle_L105	Left	Clavicle	139	9.4	7.7
Clavicle_L106	Left	Clavicle	150	13.1	9.3
Clavicle_L107	Left	Clavicle	155.5	11	10.8
Clavicle_L108	Left	Clavicle	155.5	10.8	9.7
Clavicle_L109	Left	Clavicle	146	10.7	9.5
Clavicle_L110	Left	Clavicle	161	12.4	10.6
Clavicle_L111	Left	Clavicle	148	12	10.4
Clavicle_L112	Left	Clavicle	166	15	12
Clavicle_L113	Left	Clavicle	137	13	9
Clavicle_L114	Left	Clavicle	161	13	10
Clavicle_L115	Left	Clavicle	142	16	8
Clavicle_L116	Left	Clavicle	166	13	11
