ID	Side	Element	Cla_01R	Cla_04R	Cla_05R
Clavical_R61	Right	Clavicle	160	10.8	9.6
Clavical_R62	Right	Clavicle	157	12.7	9.5
Clavical_R63	Right	Clavicle	162	13.7	11.8
Clavical_R64	Right	Clavicle	167	12	11
Clavical_R65	Right	Clavicle	140	14.8	11.3
Clavical_R66	Right	Clavicle	155	13.9	11.3
Clavical_R67	Right	Clavicle	159	12.7	12.2
Clavical_R68	Right	Clavicle	164	16.8	12.8
Clavical_R69	Right	Clavicle	153	12	14.1
Clavical_R70	Right	Clavicle	169	12.8	12
Clavical_R71	Right	Clavicle	158	12.9	11.1
Clavical_R72	Right	Clavicle	143	11.5	9.8
Clavical_R73	Right	Clavicle	168	11.5	14.4
Clavical_R74	Right	Clavicle	161	12	10.3
Clavical_R75	Right	Clavicle	163	13.9	8.7
Clavical_R76	Right	Clavicle	149	13.6	9.5
Clavical_R77	Right	Clavicle	157	11.8	8.13
Clavical_R78	Right	Clavicle	138	10.54	9.78
Clavical_R79	Right	Clavicle	130	11.04	7.82
Clavical_R80	Right	Clavicle	142	9.68	6.02
Clavical_R81	Right	Clavicle	133	8.12	7.96
Clavical_R82	Right	Clavicle	140	11	8.8
Clavical_R83	Right	Clavicle	127	12.6	9.7
Clavical_R84	Right	Clavicle	117	9.3	9.1
Clavical_R85	Right	Clavicle	151	13.2	12.6
Clavical_R86	Right	Clavicle	151	10.7	11.7
Clavical_R87	Right	Clavicle	145	12.4	9.3
Clavical_R88	Right	Clavicle	153	12.9	11.1
Clavical_R89	Right	Clavicle	146	9.7	10.2
Clavical_R90	Right	Clavicle	130	11.8	9.4
Clavical_R91	Right	Clavicle	139	12.1	13.3
Clavical_R92	Right	Clavicle	143	12.5	10.9
Clavical_R93	Right	Clavicle	159	12	10.5
Clavical_R94	Right	Clavicle	159	13	8
Clavical_R95	Right	Clavicle	151	15	11
Clavical_R96	Right	Clavicle	153	12	11
Clavical_R97	Right	Clavicle	163	10	13
Clavical_R98	Right	Clavicle	142	13.4	10.5
Clavical_R99	Right	Clavicle	159.5	14.1	11.7
Clavical_R100	Right	Clavicle	156	14	12.6
Clavical_R101	Right	Clavicle	142	13.3	14.7
Clavical_R102	Right	Clavicle	144	15.3	12.5
Clavical_R103	Right	Clavicle	152	13.4	10.5
Clavical_R104	Right	Clavicle	141	11	10
Clavical_R105	Right	Clavicle	141	9.5	8.1
Clavical_R106	Right	Clavicle	148	13.3	10.5
Clavical_R107	Right	Clavicle	154	13.2	11
Clavical_R108	Right	Clavicle	151	13.9	10.9
Clavical_R109	Right	Clavicle	141	10.4	10
Clavical_R110	Right	Clavicle	161	12.8	10.3
Clavical_R111	Right	Clavicle	150	13.3	11.2
Clavical_R112	Right	Clavicle	163	15	12
Clavical_R113	Right	Clavicle	132	1	8
Clavical_R114	Right	Clavicle	162	14	10
Clavical_R115	Right	Clavicle	138	12	9
Clavical_R116	Right	Clavicle	162	14	12
